ID,Titulo,Descricao,Fluxo,Tipo,Sprint,Pontos,Dependencias,DoD,Est_Ideal,Est_Real,Est_Pess,Usa_IA,Labels
POR-T01,[FRONT] JobsPage Container,Pagina principal do portfolio de vagas,FLUXO_01,feature,1,5,,Pagina renderiza com layout correto,4h,6h,10h,Nao,"frontend,page"
POR-T02,[FRONT] JobCardGrid Component,Grid responsivo de cards de vagas,FLUXO_01,feature,1,5,POR-T01,Grid adapta em todos breakpoints,4h,6h,10h,Nao,"frontend,grid"
POR-T03,[FRONT] JobCard Component,Card individual de vaga com info resumida,FLUXO_01,feature,1,5,POR-T02,Card exibe dados corretamente,4h,6h,10h,Nao,"frontend,card"
POR-T04,[BACK] API GET /jobs,Endpoint de listagem de vagas com paginacao,FLUXO_01,feature,1,5,,API retorna lista paginada,4h,6h,10h,Nao,"backend,api"
POR-T05,[FRONT] JobFiltersBar Component,Barra de filtros combinaveis,FLUXO_01,feature,1,5,POR-T01,Filtros funcionam corretamente,4h,6h,10h,Nao,"frontend,filters"
POR-T06,[FRONT] StatusFilter,Filtro por status da vaga,FLUXO_01,feature,1,2,POR-T05,Status filtra corretamente,2h,3h,5h,Nao,"frontend,filter"
POR-T07,[FRONT] PriorityFilter,Filtro por prioridade da vaga,FLUXO_01,feature,1,2,POR-T05,Prioridade filtra corretamente,2h,3h,5h,Nao,"frontend,filter"
POR-T08,[FRONT] DepartmentFilter,Filtro por departamento multi-select,FLUXO_01,feature,1,3,POR-T05,Departamentos filtram corretamente,3h,5h,8h,Nao,"frontend,filter"
POR-T09,[FRONT] JobSearchInput,Input de busca textual com debounce,FLUXO_01,feature,1,3,POR-T05,Busca funciona com debounce,3h,5h,8h,Nao,"frontend,search"
POR-T10,[FRONT] MiniPipelineChart,Mini-funil de metricas no card,FLUXO_01,feature,1,5,POR-T03,Funil exibe dados corretos,4h,6h,10h,Nao,"frontend,chart"
POR-T11,[BACK] API GET /jobs/{id}/metrics,Metricas do funil da vaga,FLUXO_01,feature,1,3,,API retorna metricas agregadas,3h,5h,8h,Nao,"backend,api"
POR-T12,[FRONT] QuickActionsMenu,Menu de acoes rapidas no card,FLUXO_01,feature,2,3,POR-T03,Acoes funcionam corretamente,3h,5h,8h,Nao,"frontend,menu"
POR-T13,[FRONT] JobStatsHeader,Header com KPIs consolidados,FLUXO_01,feature,1,5,POR-T01,KPIs exibidos corretamente,4h,6h,10h,Nao,"frontend,dashboard"
POR-T14,[BACK] API GET /jobs/stats/overview,Estatisticas gerais do portfolio,FLUXO_01,feature,1,3,,API retorna agregacoes,3h,5h,8h,Nao,"backend,api"
POR-T15,[FRONT] Skeleton Loading,Skeleton durante carregamento,FLUXO_01,feature,1,2,POR-T02,Skeleton exibido no loading,2h,3h,5h,Nao,"frontend,ux"
CRI-T01,[FRONT] JobCreationWizard Container,Modal wizard de criacao de vaga,FLUXO_02,feature,2,8,,Modal abre e navega entre etapas,6h,10h,16h,Nao,"frontend,wizard"
CRI-T02,[FRONT] WizardStepIndicator,Indicador de progresso das etapas,FLUXO_02,feature,2,3,CRI-T01,Indicador atualiza corretamente,3h,5h,8h,Nao,"frontend,wizard"
CRI-T03,[FRONT] LIAChatPanel,Painel de chat conversacional com LIA,FLUXO_02,feature,2,8,CRI-T01,Chat funciona com streaming,6h,10h,16h,Sim,"frontend,ai,chat"
CRI-T04,[BACK] API POST /lia/chat,Endpoint de conversa com LIA,FLUXO_02,feature,2,5,,API processa mensagem e retorna,4h,6h,10h,Sim,"backend,api,ai"
CRI-T05,[IA] Prompt Wizard Criacao,Template de prompt para wizard,FLUXO_02,feature,2,3,,Extracao de campos funciona,3h,5h,8h,Sim,"ai,prompt"
CRI-T06,[FRONT] BasicInfoForm,Formulario de dados basicos,FLUXO_02,feature,2,5,CRI-T01,Campos validam corretamente,4h,6h,10h,Nao,"frontend,form"
CRI-T07,[FRONT] TechnicalRequirements,Painel de requisitos tecnicos,FLUXO_02,feature,2,5,CRI-T01,Requisitos salvam corretamente,4h,6h,10h,Nao,"frontend,form"
CRI-T08,[BACK] API POST /lia/suggest-requirements,Sugestao de requisitos por IA,FLUXO_02,feature,2,5,,Sugestoes retornam corretamente,4h,6h,10h,Sim,"backend,api,ai"
CRI-T09,[IA] Prompt Sugestao Requisitos,Template para sugerir skills,FLUXO_02,feature,2,3,,Sugestoes sao relevantes,3h,5h,8h,Sim,"ai,prompt"
CRI-T10,[FRONT] BehavioralCompetencies,Painel de competencias comportamentais,FLUXO_02,feature,2,5,CRI-T01,Competencias salvam corretamente,4h,6h,10h,Nao,"frontend,form"
CRI-T11,[FRONT] SalaryConfigPanel,Configuracao de faixa salarial,FLUXO_02,feature,2,3,CRI-T01,Salario salva corretamente,3h,5h,8h,Nao,"frontend,form"
CRI-T12,[BACK] API POST /lia/suggest-salary,Sugestao de faixa salarial,FLUXO_02,feature,2,5,,Faixa retorna com fonte,4h,6h,10h,Sim,"backend,api,ai"
CRI-T13,[FRONT] TimelineConfig,Configuracao de timeline e deadline,FLUXO_02,feature,2,3,CRI-T01,Timeline salva corretamente,3h,5h,8h,Nao,"frontend,form"
CRI-T14,[FRONT] InterviewStagesConfig,Configurador de etapas de entrevista,FLUXO_02,feature,2,5,CRI-T01,Etapas configuraveis com drag-drop,4h,6h,10h,Nao,"frontend,dnd"
CRI-T15,[BACK] API POST /lia/generate-jd,Geracao de job description,FLUXO_02,feature,2,5,,JD profissional gerada,4h,6h,10h,Sim,"backend,api,ai"
CRI-T16,[IA] Prompt Geracao JD,Template para gerar descricao,FLUXO_02,feature,2,3,,JD inclusiva e profissional,3h,5h,8h,Sim,"ai,prompt"
CRI-T17,[FRONT] JobPreviewPanel,Preview da vaga antes de criar,FLUXO_02,feature,2,5,CRI-T01,Preview exibe todos os campos,4h,6h,10h,Nao,"frontend,preview"
CRI-T18,[BACK] API POST /jobs,Endpoint de criacao de vaga,FLUXO_02,feature,2,8,,Vaga criada com validacao,6h,10h,16h,Nao,"backend,api,core"
CRI-T19,[FRONT] CriteriaExtractionPanel,Painel de criterios extraidos de JD,FLUXO_02,feature,2,5,CRI-T03,Criterios exibidos e editaveis,4h,6h,10h,Nao,"frontend,panel"
CRI-T20,[BACK] Auto-save Rascunho,Salvamento automatico de rascunho,FLUXO_02,feature,2,3,CRI-T18,Rascunho salvo a cada 30s,3h,5h,8h,Nao,"backend,api"
APR-T01,[FRONT] RequestApprovalButton,Botao de solicitacao de aprovacao,FLUXO_03,feature,3,2,,Botao funciona corretamente,2h,3h,5h,Nao,"frontend,ui"
