ID,Titulo,Descricao,Tipo,Tab,Sprint,Prioridade,Dependencias,Estimativa Ideal,Estimativa Realista,Estimativa Pessimista,DoD,Criterios de Aceitacao
BUS-001-BACK,"[BACK] API Busca Natural","Endpoint POST /api/v1/candidates/search com integracao Claude para NLP",feature,Busca,1,Alta,,4h,6h,10h,"API retorna candidatos com scores","Busca por texto natural funciona"
BUS-001-FRONT,"[FRONT] SmartSearchInput Component","Input AI-powered com modos de busca e entity extraction",feature,Busca,1,Alta,BUS-001-BACK,6h,10h,16h,"Input com 5 modos funcionando","Busca natural dispara corretamente"
BUS-001-IA,"[IA] Entity Extraction Pipeline","Prompt template e integracao Claude para extrair entidades",feature,Busca,1,Alta,,4h,6h,10h,"Entidades extraidas corretamente","Skills location experience detectados"
BUS-002-BACK,"[BACK] API Busca Similar","Endpoint POST /api/v1/candidates/search/similar para perfis similares",feature,Busca,2,Alta,,4h,6h,10h,"API retorna candidatos similares","Similaridade calculada corretamente"
BUS-002-FRONT,"[FRONT] Input Perfil Similar","Input para URL LinkedIn ou seletor de candidato",feature,Busca,2,Alta,BUS-002-BACK,4h,6h,10h,"Input aceita URL e candidato","URL do LinkedIn funciona"
BUS-003-BACK,"[BACK] API Busca por JD","Endpoint POST /api/v1/candidates/search/jd para match com job description",feature,Busca,2,Alta,,5h,8h,12h,"API retorna candidatos por fit","Requisitos extraidos e matched"
BUS-003-FRONT,"[FRONT] Textarea Job Description","Textarea expansivel para colar JD completa",feature,Busca,2,Alta,BUS-003-BACK,3h,5h,8h,"Textarea aceita JD","JD parseada em requisitos"
BUS-004-BACK,"[BACK] Parser Boolean Query","Parser para traduzir query boolean em SQL/ES",feature,Busca,3,Media,,4h,6h,10h,"Parser funciona","AND OR NOT parenteses funcionam"
BUS-004-FRONT,"[FRONT] Input Boolean Search","Input com syntax highlighting e validacao",feature,Busca,3,Media,BUS-004-BACK,4h,6h,10h,"Input valida sintaxe","Erro de sintaxe exibe mensagem"
BUS-005-BACK,"[BACK] CRUD Arquetipos","Endpoints GET/POST para arquetipos de personalidade",feature,Busca,4,Media,,4h,6h,10h,"CRUD funcionando","Arquetipos custom salvos"
BUS-005-FRONT,"[FRONT] Grid de Arquetipos","Grid com arquetipos pre-definidos e custom",feature,Busca,4,Media,BUS-005-BACK,5h,8h,12h,"Grid exibe arquetipos","Busca por arquetipo funciona"
BUS-006-FRONT,"[FRONT] Seletor de Fonte","Toggle Local/Global/Hibrido com icones",feature,Busca,1,Alta,,2h,3h,5h,"Toggle funciona","Fonte selecionada usada na busca"
BUS-007-BACK,"[BACK] Suporte a Filtros Avancados","API aceita todos os filtros",feature,Busca,2,Alta,,3h,5h,8h,"API aceita filtros","Filtros combinaveis"
BUS-007-FRONT,"[FRONT] AdvancedFiltersModal","Modal com filtros de localizacao experiencia etc",feature,Busca,2,Alta,BUS-007-BACK,6h,10h,16h,"Modal com todos filtros","Filtrar por SP funciona"
BUS-008-FRONT,"[FRONT] UnifiedCandidateTable","Tabela configuravel com colunas drag-resize",feature,Busca,1,Alta,,8h,12h,20h,"Tabela renderiza candidatos","100 candidatos em <1s"
BUS-009-FRONT,"[FRONT] Ordenacao de Tabela","Headers clicaveis para ordenar",feature,Busca,1,Alta,BUS-008-FRONT,2h,3h,5h,"Ordenacao funciona","Ordenar por score funciona"
