Summary,Issue Type,Priority,Labels,Description,Story Points,Epic Link
"[FRONT] Header Principal - Gestao de Vagas",Story,High,"frontend,header,gestao-vagas","**Descricao:**
Implementar header principal da pagina de Gestao de Vagas com icone, titulo e alinhamento conforme design system.

**Historia de Usuario:**
Como recrutador, eu quero ver o titulo da pagina claramente identificado para saber onde estou na plataforma.

**Requisitos Tecnicos:**
- Componente: JobsPageHeader
- Icone: Building2 (Lucide) ou icone customizado
- Titulo: Gestao de Vagas
- Fonte: Open Sans 18px semibold
- Cor: #2D2D2D (gray-950)

**Criterios de Aceitacao:**
- [ ] Icone Building2 24px visivel
- [ ] Titulo Gestao de Vagas visivel
- [ ] Fonte Open Sans 18px semibold
- [ ] Alinhamento correto com sidebar
- [ ] Responsivo em tablets",3,EPIC-VAG-001
"[FRONT] Botao Nova Vaga - CTA Principal",Story,Highest,"frontend,cta,gestao-vagas","**Descricao:**
Implementar botao principal de criacao de vaga no header, com estilo cyan (#60BED1), icone plus e acao de abertura do wizard de criacao via LIA.

**Historia de Usuario:**
Como recrutador, eu quero criar uma nova vaga rapidamente clicando em um botao visivel no topo da pagina.

**Requisitos Tecnicos:**
- Componente: NewJobButton
- Estilo: bg-[#60BED1] text-white rounded-lg
- Icone: Plus (Lucide) 16px
- Texto: Nova Vaga
- Acao: Abrir ExpandedChatModal em modo job-creation

**Criterios de Aceitacao:**
- [ ] Botao cyan visivel no header
- [ ] Icone Plus + texto Nova Vaga
- [ ] Abre ExpandedChatModal corretamente
- [ ] Estado hover funciona
- [ ] Responsivo (apenas icone em mobile)",5,EPIC-VAG-001
"[FRONT] Integracao Busca Global - Header Icon",Story,Medium,"frontend,search,gestao-vagas","**Descricao:**
Integrar icone de busca global no header da pagina de vagas, conectando com o GlobalSearchModal existente.

**Historia de Usuario:**
Como recrutador, eu quero buscar vagas, candidatos ou qualquer coisa rapidamente usando a busca global.

**Requisitos Tecnicos:**
- Componente: GlobalSearchButton (reutilizar)
- Icone: Search (Lucide) 20px
- Cor: #666666 (gray-500)
- Acao: Abrir GlobalSearchModal, Atalho Cmd+K

**Criterios de Aceitacao:**
- [ ] Icone de busca visivel no header
- [ ] Abre GlobalSearchModal ao clicar
- [ ] Atalho Cmd+K funciona
- [ ] Tooltip Buscar (Cmd+K)",3,EPIC-VAG-001
"[FRONT] Integracao Notificacoes - Bell Icon",Story,Medium,"frontend,notifications,gestao-vagas","**Descricao:**
Integrar icone de notificacoes no header com badge de contador de nao lidas e dropdown de notificacoes recentes.

**Historia de Usuario:**
Como recrutador, eu quero ver minhas notificacoes rapidamente sem sair da pagina.

**Requisitos Tecnicos:**
- Componente: NotificationBell (reutilizar)
- Icone: Bell (Lucide) 20px
- Badge: Contador de nao lidas
- Dropdown: Lista de notificacoes recentes

**Criterios de Aceitacao:**
- [ ] Icone de sino visivel
- [ ] Badge contador quando ha nao lidas
- [ ] Dropdown com ultimas notificacoes
- [ ] Click em notificacao navega para destino",3,EPIC-VAG-001
"[FRONT] Sistema de Tabs de Filtro por Status",Story,High,"frontend,filters,tabs,gestao-vagas","**Descricao:**
Implementar sistema de tabs horizontais para filtrar vagas por status, com design conforme design system.

**Historia de Usuario:**
Como recrutador, eu quero filtrar vagas por status rapidamente usando tabs visuais.

**Requisitos Tecnicos:**
- Componente: JobStatusTabs
- Tabs: Todas, Ativas, Urgentes, Paralisadas, Concluidas/Canceladas
- Layout: Horizontal, scrollable em mobile
- Animacao: Underline slide transition

**Criterios de Aceitacao:**
- [ ] Tabs renderizam corretamente
- [ ] Click muda filtro ativo
- [ ] Underline animada na tab ativa
- [ ] Scrollable em mobile
- [ ] Persiste estado no URL",8,EPIC-VAG-002
"[FRONT/BACK] Contadores Dinamicos por Status",Story,High,"frontend,backend,counters,gestao-vagas","**Descricao:**
Implementar contadores dinamicos ao lado de cada tab mostrando quantidade de vagas naquele status.

**Historia de Usuario:**
Como recrutador, eu quero ver quantas vagas tenho em cada status rapidamente.

**Requisitos Tecnicos:**
- Backend: GET /api/v1/jobs/counts-by-status
- Frontend: Badge com contador ao lado de cada tab
- Realtime: Atualiza ao criar/editar vaga

**Criterios de Aceitacao:**
- [ ] Contadores exibidos corretamente
- [ ] Atualizacao em tempo real
- [ ] Loading state enquanto carrega
- [ ] Badge estilo consistente",5,EPIC-VAG-002
"[FRONT] Filtro Todas as Vagas",Story,High,"frontend,filters,gestao-vagas","**Descricao:**
Implementar filtro Todas que mostra todas as vagas independente do status.

**Criterios de Aceitacao:**
- [ ] Tab Todas funciona
- [ ] Mostra todas as vagas
- [ ] Contador total correto",3,EPIC-VAG-002
"[FRONT] Filtro Vagas Ativas",Story,High,"frontend,filters,gestao-vagas","**Descricao:**
Implementar filtro Ativas que mostra vagas com status ativo (em andamento, abertas).

**Criterios de Aceitacao:**
- [ ] Tab Ativas funciona
- [ ] Filtra corretamente
- [ ] Contador correto",3,EPIC-VAG-002
"[FRONT] Filtro Vagas Urgentes",Story,High,"frontend,filters,urgent,gestao-vagas","**Descricao:**
Implementar filtro Urgentes que mostra vagas marcadas como urgentes ou com deadline proximo.

**Requisitos Tecnicos:**
- Criterios: flag is_urgent=true OU deadline < 7 dias
- Visual: Badge vermelho/laranja

**Criterios de Aceitacao:**
- [ ] Tab Urgentes funciona
- [ ] Filtra por flag is_urgent
- [ ] Filtra por deadline proximo
- [ ] Visual diferenciado",5,EPIC-VAG-002
"[FRONT] Filtro Vagas Paralisadas",Story,Medium,"frontend,filters,gestao-vagas","**Descricao:**
Implementar filtro Paralisadas que mostra vagas com status pausado ou on-hold.

**Criterios de Aceitacao:**
- [ ] Tab Paralisadas funciona
- [ ] Filtra corretamente
- [ ] Visual indica status pausado",3,EPIC-VAG-002
"[FRONT] Filtro Concluidas e Canceladas",Story,Low,"frontend,filters,gestao-vagas","**Descricao:**
Implementar filtro combinado para vagas concluidas (fechadas com contratacao) e canceladas.

**Criterios de Aceitacao:**
- [ ] Tab funciona
- [ ] Filtra concluidas e canceladas
- [ ] Visual indica status final",3,EPIC-VAG-002
