Summary,Issue Type,Priority,Labels,Description
"[VAG-001] Header Principal Gestao de Vagas",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-001. Story Points: 3. Prioridade: High"
"[VAG-002] Botao Nova Vaga",Task,Highest,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-002. Story Points: 5. Prioridade: Highest"
"[VAG-003] Integracao Busca Global",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-003. Story Points: 3. Prioridade: Medium"
"[VAG-004] Integracao Notificacoes",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-004. Story Points: 3. Prioridade: Medium"
"[VAG-005] Sistema de Tabs de Filtro",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-005. Story Points: 8. Prioridade: High"
"[VAG-006] Contadores Dinamicos por Status",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-006. Story Points: 5. Prioridade: High"
"[VAG-007] Filtro Todas as Vagas",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-007. Story Points: 3. Prioridade: High"
"[VAG-008] Filtro Vagas Ativas",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-008. Story Points: 3. Prioridade: High"
"[VAG-009] Filtro Vagas Urgentes",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-009. Story Points: 5. Prioridade: High"
"[VAG-010] Filtro Vagas Paralisadas",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-010. Story Points: 3. Prioridade: Medium"
"[VAG-011] Filtro Concluidas e Canceladas",Task,Low,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-011. Story Points: 3. Prioridade: Low"
"[VAG-012] Container LIA Centralizado",Task,Highest,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-012. Story Points: 8. Prioridade: Highest"
"[VAG-013] Titulo Contextual Dinamico",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-013. Story Points: 3. Prioridade: High"
"[VAG-014] Input de Chat LIA",Task,Highest,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-014. Story Points: 8. Prioridade: Highest"
"[VAG-015] Icones Microfone e Busca",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-015. Story Points: 5. Prioridade: Medium"
"[VAG-016] Sugestoes Contextuais",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-016. Story Points: 8. Prioridade: High"
"[VAG-017] Integracao Backend LIA",Task,Highest,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-017. Story Points: 13. Prioridade: Highest"
"[VAG-018] Acao Criar Nova Vaga",Task,Highest,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-018. Story Points: 5. Prioridade: Highest"
"[VAG-019] Acao Ver Minhas Vagas",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-019. Story Points: 3. Prioridade: High"
"[VAG-020] Acao Ver Todas as Vagas",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-020. Story Points: 3. Prioridade: High"
"[VAG-021] Acao Resumo das Vagas",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-021. Story Points: 5. Prioridade: Medium"
"[VAG-022] Acao Mais Ideias (AI)",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-022. Story Points: 8. Prioridade: Medium"
"[VAG-023] Empty State Design",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-023. Story Points: 5. Prioridade: High"
"[VAG-024] Mensagem Boas-Vindas LIA",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-024. Story Points: 3. Prioridade: High"
"[VAG-028] Tabela de Vagas - Estrutura Base",Task,Highest,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-028. Story Points: 8. Prioridade: Highest"
"[VAG-029] Colunas Configuraveis Toggle/Order",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-029. Story Points: 5. Prioridade: High"
"[VAG-030] Ordenacao Multi-Coluna Sort",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-030. Story Points: 3. Prioridade: High"
"[VAG-031] Redimensionamento de Colunas",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-031. Story Points: 5. Prioridade: Medium"
"[VAG-032] Selecao em Lote Checkbox",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-032. Story Points: 5. Prioridade: High"
"[VAG-033] Persistencia de Config localStorage",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-033. Story Points: 3. Prioridade: Medium"
"[VAG-034] Coluna Performance LIA Triagens",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-034. Story Points: 5. Prioridade: High"
"[VAG-035] Coluna Roteiro de Triagem",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-035. Story Points: 3. Prioridade: Medium"
"[VAG-036] Acoes por Linha Menu Dropdown",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-036. Story Points: 5. Prioridade: High"
"[VAG-037] Preview Panel - Estrutura Base",Task,Highest,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-037. Story Points: 8. Prioridade: Highest"
"[VAG-038] Tab Visao Geral - Funil Rapido",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-038. Story Points: 5. Prioridade: High"
"[VAG-039] Tab Visao Geral - Metricas LIA",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-039. Story Points: 5. Prioridade: High"
