Tabela Completa: WorkOS - Cobertura, Custos e Tempo de Integração
Produto/Feature WorkOS	Requisito Bancário Atendido	Regulação	Custo Mensal	Tempo Integração	Prioridade
SSO Enterprise (SAML/OIDC)	Autenticação via IdP corporativo	CMN 4893, BCB 538	$125/conexão	2 semanas	🔴 Crítico
↳ Okta Integration	SSO com Okta	BCB 538 Art. 3º	Incluído	—	—
↳ Azure AD/Entra ID	SSO com Microsoft	BCB 538 Art. 3º	Incluído	—	—
↳ Google Workspace	SSO com Google	BCB 538 Art. 3º	Incluído	—	—
↳ OneLogin, Ping, etc.	SSO com outros IdPs	BCB 538 Art. 3º	Incluído	—	—
AuthKit (User Management)	Gestão de usuários com MFA	BCB 538, CMN 5274	Grátis até 1M MAU	1 semana	🔴 Crítico
↳ MFA (TOTP, SMS, WebAuthn)	Autenticação multifatorial obrigatória	BCB 538 (14 controles)	Incluído	2 dias	🔴 Crítico
↳ Passwordless (Magic Links)	Redução de credenciais locais	Best practice	Incluído	1 dia	🟡 Médio
↳ Social Login	Login com Google/Microsoft	Nice-to-have	Incluído	1 dia	🟢 Baixo
Directory Sync (SCIM)	Provisionamento automático	SOX 404, BCB 538	$125/diretório	1 semana	🔴 Crítico
↳ User Provisioning	Criação automática de usuários	CMN 4893 Art. 3º	Incluído	—	—
↳ User Deprovisioning	Revogação imediata ao desligamento	SOX 404, SoD	Incluído	—	—
↳ Group Sync	Sincronização de grupos/RBAC	SOX 404 (SoD)	Incluído	—	—
↳ HRIS Integration	Sync com Workday, BambooHR	Best practice	Incluído	2 dias	🟡 Médio
Audit Logs	Trilha de auditoria SSO/SCIM	CMN 4893, BCB 538	$5/org base	3 dias	🟡 Médio
↳ 1-month Retention	Retenção básica	Mínimo regulatório	Incluído	—	—
↳ 12-month Retention	Retenção estendida	SOX (5 anos combo)	+$50/org	—	🟡 Médio
↳ SIEM Streaming	Export para Splunk/Datadog	BCB 538, SOC 2	+$75/org	2 dias	🟡 Médio
↳ CSV Export	Export manual para auditoria	CMN 4893 Art. 21	Incluído	—	—
Admin Portal	Self-service para TI do cliente	Redução de suporte	Incluído SSO/SCIM	2 dias	🔴 Crítico
↳ SSO Configuration	Cliente configura próprio IdP	BCB 538	Incluído	—	—
↳ Directory Configuration	Cliente configura SCIM	BCB 538	Incluído	—	—
↳ Branding/White-label	Portal com marca do cliente	Best practice	Incluído	1 dia	🟢 Baixo
Fine-Grained Authorization	Controle granular de permissões	SOX 404 (SoD)	Custom pricing	1 semana	🟡 Médio
↳ RBAC	Roles por organização	SOX 404	Incluído	—	—
↳ Warrant (FGA engine)	Permissões granulares	SOX 404, BCB 538	Sob consulta	1 semana	🟡 Médio
Vault (Key Management)	Gestão de chaves de criptografia	BCB 538 (criptografia)	$99/mês	3 dias	🟡 Médio
↳ Encryption at Rest	Criptografia em repouso	BCB 538, CMN 4893	Incluído	—	—
↳ Key Rotation	Rotação de chaves	ISO 27001	Incluído	—	—
Radar (Fraud Detection)	Detecção de fraudes/anomalias	BCB 538 (inteligência)	Sob consulta	1 semana	🟡 Médio
↳ Suspicious Login Detection	Bloqueio de acessos suspeitos	BCB 538 Art. 3º	Incluído	—	—
↳ Bot Protection	Proteção contra automação	Best practice	Incluído	—	—
Custom Domains	Domínio próprio para auth	Branding enterprise	$99/mês	1 dia	🟢 Baixo
SOC 2 Type II (Herdado)	Certificação de segurança	CMN 4893, BCB 498	Incluído	0	🔴 Crítico
GDPR/LGPD DPA	Acordo de processamento de dados	LGPD Art. 39	Incluído	0	🔴 Crítico
HIPAA BAA	Acordo para dados de saúde	Se aplicável	Enterprise only	0	🟢 Baixo
